gbifID,decimalLatitude,decimalLongitude
919446292,,
891746728,45.588605,25.219404
891143250,43.179276,-6.381267
859527601,,
859500617,,
859496370,,
859469344,,
859464849,,
859464582,,
859455086,,
859455081,,
859454917,,
859435818,,
859421439,,
859418975,,
859415638,,
859395093,,
859341048,,
812641545,67.409608,-150.1102216
812641015,53.8284217,-124.0178467
665848681,,
665794833,,
665716217,43.166672,81.716667
476829181,50.174206,14.218189
476805994,,
4409532147,46.03,25.82
4408691766,45.52,25.27
4408641826,46.13,25.92
4408531186,46.13,25.92
4408341651,45.56,25.08
4408340442,45.9,25.46
4408338675,45.7,14.5
4408300673,45.56,25.08
4408292497,42.91,19.1
4408272849,45.68,25.13
4408251698,45.48,25.19
4408209897,64.09,30.45
4408185157,45.42,24.62
4408176718,45.36,24.61
4408126420,62.11,13.17
4408109489,45.7,14.5
4408103497,45.6,14.45
4408090765,64.13,30.5
4408084686,45.35,24.63
4408082032,45.58,25.61
4408074720,64.5,29.98
4408067572,49.09,19.8
4408065455,45.4,25.38
4408054563,49.18,19.91
4407379723,41.996006,13.666196
4407323822,43.168741,-6.234983
4405597446,43.023324,-6.352666
4405520022,43.011335,-6.261297
4405341061,47.575464,24.183911
4400391674,43.065262,-6.099794
4399997188,45.722921,25.427455
4399884724,44.720355,25.000219
4171834874,45.515314,14.491713
4171651998,41.603715,13.828854
4165395781,41.874278,13.609415
4156516340,64.5,29.99
4153863900,43.200224,-5.913546
4153729812,36.969516,-0.46875
4153387891,43.215025,-5.664072
4145563450,43.024514,-6.107998
4138375726,49.392898,22.538088
4138158650,45.702035,24.552066
4133826861,42.921446,-6.251779
4133764767,45.951621,10.988673
4130165762,45.680842,14.618716
4129787512,42.864151,0.962313
4127216241,45.737248,14.56989
4126800704,,
4121462786,42.871056,0.978225
4096986605,46.166239,25.588943
4096595646,46.050395,25.331875
4091820784,41.916324,13.720002
4091544461,46.088976,14.829572
4081044651,55.90124,25.751745
4080466300,45.953788,24.951473
4076423554,45.858442,25.993748
4076276986,48.749604,18.11096
4076085521,46.17106,25.244811
4076052496,46.036019,25.832391
4075936885,45.732337,25.574117
4068163005,,
4067722477,45.597817,25.460049
4067559475,46.09509,25.831299
4067554647,45.773534,25.762956
4067516508,45.467436,25.555421
4067461460,46.17152,25.931028
4067407517,46.103606,25.933145
4063114347,49.192518,20.065084
4057633467,45.7,14.5
4056622823,45.7,14.5
4051631218,42.97764,-0.49185
4046226151,64.538262,29.960739
4039532325,40.947688,21.184405
4039523395,44.354438,15.525625
4039164283,40.95183,21.199267
4028727289,40.763841,31.544468
4028681439,62.450715,35.918317
4006582715,43.107964,-6.043588
4006582189,43.076966,-6.296648
4006545532,43.161518,-6.347441
3997154109,64.5,29.98
3997070991,64.5,29.98
3996788478,64.5,29.98
3995370612,64.5,29.98
3995099505,64.5,29.98
3994217925,40.801543,31.556852
3988855305,59.229169,26.818359
3988438661,40.768952,31.560254
3986066203,36.388874,52.191231
3963756335,45.873744,25.49518
3963688555,40.830185,31.587959
3963662434,45.520928,24.775119
3963427390,45.317338,24.799287
3963350391,40.115734,29.158231
3963340527,40.743744,31.469354
3947100875,61.571407,22.68162
3925496494,43.328444,-6.059845
3925319527,43.08362,-6.367593
3924996850,43.036057,-6.41148
3912381525,42.854568,-6.625275
3912018762,59.226258,26.877719
3906065437,45.7,14.5
3905054730,45.65,14.55
3905013477,45.7,14.55
3903376689,43.066577,-6.308109
3903175996,43.125228,-6.351756
3903081687,43.06897,-6.107431
3902754551,45.608847,14.511858
3902568987,45.209771,24.780652
3902313488,45.749822,25.066542
3892561434,45.694531,25.166912
3892411553,45.363928,22.99119
3892333220,43.072868,-6.297514
3888916698,42.969475,-6.371091
3881797565,41.063828,33.742241
3874078255,45.792068,25.092703
